length=;26;
t1;t2;x;y;z;roll;pitch;yaw;numCorners;numMatches;numInliers;estValid;
0;0.0333333;0.987993;0.112655;-0.105732;0;0;-0.0610317;521;521;323;1;
0.0333333;0.0666667;0.999112;0.0209205;0.0365627;0;0;-0.0187244;565;565;337;1;
0.0666667;0.1;0.0714716;-0.991898;0.105029;0;0;-0.657216;568;568;357;1;
0.1;0.133333;0.793007;-0.525032;0.308999;0;0;0.0244259;596;596;364;1;
0.133333;0.166667;0.0725583;0.996881;-0.0310289;0;0;-0.230245;622;622;355;1;
0.166667;0.2;-0.0779298;-0.996906;0.0102903;0;0;2.19754;620;620;365;1;
0.2;0.233333;-0.383945;-0.922566;0.0381794;0;0;-0.437418;619;619;386;1;
0.233333;0.266667;0.633857;-0.722071;0.277196;0;0;-0.108302;626;626;362;1;
0.266667;0.3;0.895196;-0.441752;-0.0589867;0;0;-0.0435763;569;569;331;1;
0.3;0.333333;0.0509083;0.980112;0.191803;0;0;0.8496;588;588;336;1;
0.333333;0.366667;0.99879;0.0305444;0.0385534;0;0;-0.010653;589;589;351;1;
0.366667;0.4;-0.102885;-0.994525;0.0182964;0;0;7.66165;566;566;344;1;
0.4;0.433333;0.994807;0.0583335;0.0833992;0;0;0.0273181;534;534;315;1;
0.433333;0.466667;-0.940927;-0.318695;-0.114409;0;0;0.0184221;562;562;325;1;
0.466667;0.5;0.976746;0.204831;0.0633413;0;0;-0.0230811;555;555;319;1;
0.5;0.533333;0.892943;-0.44204;0.0851723;0;0;0.139094;540;540;300;1;
0.533333;0.566667;0.982205;-0.0970196;0.160813;0;0;-0.0711587;514;514;291;1;
0.566667;0.6;0.977245;-0.148194;0.151757;0;0;-0.00736431;557;557;300;1;
0.6;0.633333;0.962353;-0.0676774;-0.263241;0;0;-0.0275989;509;509;278;1;
0.633333;0.666667;0.983394;-0.164735;0.0761441;0;0;-0.000302581;526;526;301;1;
0.666667;0.7;0.988903;0.114493;-0.0946689;0;0;-0.0375098;543;543;337;1;
0.7;0.733333;0.990669;-0.12055;0.0635858;0;0;-0.04147;541;541;316;1;
0.733333;0.766667;0.5246;0.837634;-0.152198;0;0;-0.836101;542;542;320;1;
0.766667;0.8;0.312068;0.949589;-0.0298928;0;0;-4.53828;542;542;337;1;
0.8;0.833333;0.071571;0.980353;-0.183808;0;0;-1.4886;502;502;309;1;
0.833333;0.866667;0.433048;0.901304;-0.0110087;0;0;0.0660669;542;542;312;1;
